timestamp,symbol,close
2026-04-27T12:00:00Z,AMD,348.54
2026-04-27T12:00:00Z,INTC,82.51
2026-04-27T12:00:00Z,OGN,13.23
2026-04-27T13:00:00Z,AAOI,148.325
2026-04-27T13:00:00Z,ABT,92.54
2026-04-27T13:00:00Z,AIQ,55.29
2026-04-27T13:00:00Z,AMD,335.845
2026-04-27T13:00:00Z,AVAV,198.605
2026-04-27T13:00:00Z,AYI,290.14
2026-04-27T13:00:00Z,BDC,132.74
2026-04-27T13:00:00Z,BFC,144.49
2026-04-27T13:00:00Z,BOTZ,38.495
2026-04-27T13:00:00Z,BP,46.565
2026-04-27T13:00:00Z,CI,281.87
2026-04-27T13:00:00Z,CRBG,26.45
2026-04-27T13:00:00Z,DOCN,93.685
2026-04-27T13:00:00Z,EQH,41.39
2026-04-27T13:00:00Z,ILMN,128.68
2026-04-27T13:00:00Z,IMAX,37.685
2026-04-27T13:00:00Z,INTC,86.655
2026-04-27T13:00:00Z,ITA,217.32
2026-04-27T13:00:00Z,MDT,83.5
2026-04-27T13:00:00Z,MET,77.51
2026-04-27T13:00:00Z,MPC,229.29
2026-04-27T13:00:00Z,NE,53.415
2026-04-27T13:00:00Z,NOC,586.74
2026-04-27T13:00:00Z,OGN,13.19
2026-04-27T13:00:00Z,PPA,166.05
2026-04-27T13:00:00Z,SAN,12.035
2026-04-27T13:00:00Z,TTD,23.025
2026-04-27T13:00:00Z,VOYA,81.05
2026-04-27T13:00:00Z,WMG,28.975
2026-04-27T13:00:00Z,XAR,256.33
2026-04-27T14:00:00Z,AAOI,145.95
2026-04-27T14:00:00Z,ABT,92.9
2026-04-27T14:00:00Z,AIQ,55.3
2026-04-27T14:00:00Z,AMD,335.16
2026-04-27T14:00:00Z,AVAV,195.93
2026-04-27T14:00:00Z,AYI,288.67
2026-04-27T14:00:00Z,BDC,132.23
2026-04-27T14:00:00Z,BOTZ,38.375
2026-04-27T14:00:00Z,BP,46.36
2026-04-27T14:00:00Z,CI,284.05
2026-04-27T14:00:00Z,CRBG,26.675
2026-04-27T14:00:00Z,DOCN,95.89
2026-04-27T14:00:00Z,EQH,41.615
2026-04-27T14:00:00Z,ILMN,128.41
2026-04-27T14:00:00Z,IMAX,37.17
2026-04-27T14:00:00Z,INTC,84.28
2026-04-27T14:00:00Z,ITA,215.77
2026-04-27T14:00:00Z,MDT,83.49
2026-04-27T14:00:00Z,MET,77.52
2026-04-27T14:00:00Z,MPC,227.92
2026-04-27T14:00:00Z,NE,53.48
2026-04-27T14:00:00Z,NOC,582.32
2026-04-27T14:00:00Z,OGN,13.175
2026-04-27T14:00:00Z,PPA,165.71
2026-04-27T14:00:00Z,SAN,12.005
2026-04-27T14:00:00Z,SPY,713.63
2026-04-27T14:00:00Z,TTD,23.785
2026-04-27T14:00:00Z,VOYA,82.2
2026-04-27T14:00:00Z,WMG,29.05
2026-04-27T14:00:00Z,XAR,256.15
